FID,OBJECTID,SHAPE,BAUM_ID,DATENFUEHRUNG,BEZIRK,OBJEKT_STRASSE,GEBIETSGRUPPE,GATTUNG_ART,PFLANZJAHR,PFLANZJAHR_TXT,STAMMUMFANG,STAMMUMFANG_TXT,BAUMHOEHE,BAUMHOEHE_TXT,KRONENDURCHMESSER,KRONENDURCHMESSER_TXT,BAUMNUMMER,SE_ANNO_CAD_DATA
BAUMKATOGD.576868253,576868253,POINT (16.359845628593174 48.221243847446004),244846,magistrat,9,Ari-Rath-Platz,"MA 28 - Straße, Grünanlage",Fraxinus excelsior 'Diversifolia' (Einblättrige Esche),2014,2014,42,42 cm,2,6-10 m,1,0-3 m,2006,
BAUMKATOGD.576868254,576868254,POINT (16.347836047599692 48.18849300067938),259409,magistrat,5,Am Hundsturm,"MA 28 - Straße, Grünanlage",Fraxinus ornus 'Obelisk' (Säulenblumenesche),2015,2015,28,28 cm,1,0-5 m,1,0-3 m,1003,
BAUMKATOGD.576868255,576868255,POINT (16.42235154816562 48.276581773668774),147064,magistrat,21,Ruthnergasse,"MA 28 - Straße, Grünanlage",Acer platanoides (Spitzahorn),2008,2008,52,52 cm,2,6-10 m,1,0-3 m,106,
BAUMKATOGD.576868256,576868256,POINT (16.422636379217405 48.27691574384627),171913,magistrat,21,Ruthnergasse,"MA 28 - Straße, Grünanlage",Acer platanoides 'Columnare' (Säulenahorn),2011,2011,32,32 cm,1,0-5 m,1,0-3 m,109,
BAUMKATOGD.576868257,576868257,POINT (16.347816024071363 48.18797121427404),104738,magistrat,5,Am Hundsturm,"MA 28 - Straße, Grünanlage",Fraxinus ornus (Blumenesche),1997,1997,71,71 cm,2,6-10 m,3,7-9 m,1005,
BAUMKATOGD.576868258,576868258,POINT (16.363018969610117 48.24920815417047),36553,magistrat,19,Heiligenstädter Straße,"MA 28 - Straße, Grünanlage",Tilia platyphyllos (Sommerlinde),1850,1850,214,214 cm,3,11-15 m,3,7-9 m,4046,
BAUMKATOGD.576868259,576868259,POINT (16.42286262275466 48.27717862198166),345112,magistrat,21,Ruthnergasse,"MA 28 - Straße, Grünanlage",Acer campestre 'Elsrijk' (Feldahorn),2012,2012,20,20 cm,1,0-5 m,1,0-3 m,112,
BAUMKATOGD.576868260,576868260,POINT (16.287315024723263 48.152038233437466),268680,magistrat,23,"23., Parkanlage Pölleritzergasse, MA42",MA 42 - Parkanlage,Crataegus monogyna (Weißdorn),0,nicht definiert,52,52 cm,3,11-15 m,2,4-6 m,37,
BAUMKATOGD.576868261,576868261,POINT (16.423144088946767 48.27751061492084),197047,magistrat,21,Ruthnergasse,"MA 28 - Straße, Grünanlage",Acer platanoides (Spitzahorn),2020,2020,29,29 cm,1,0-5 m,1,0-3 m,114,
BAUMKATOGD.576868262,576868262,POINT (16.359765048352244 48.22131401099388),137008,magistrat,9,Ari-Rath-Platz,"MA 28 - Straße, Grünanlage",Fraxinus excelsior 'Diversifolia' (Einblättrige Esche),2007,2007,78,78 cm,2,6-10 m,3,7-9 m,2007,
BAUMKATOGD.576868263,576868263,POINT (16.359693891590968 48.221391097316996),137002,magistrat,9,Ari-Rath-Platz,"MA 28 - Straße, Grünanlage",Fraxinus excelsior 'Diversifolia' (Einblättrige Esche),2007,2007,87,87 cm,2,6-10 m,3,7-9 m,2008,
BAUMKATOGD.576868264,576868264,POINT (16.34749319321346 48.18773814154087),104733,magistrat,5,Am Hundsturm,"MA 28 - Straße, Grünanlage",Sophora japonica (Schnurbaum),1989,1989,115,115 cm,2,6-10 m,3,7-9 m,1010,
BAUMKATOGD.576868265,576868265,POINT (16.37569652209042 48.24634115918119),336030,magistrat,20,Aignerstraße,"MA 28 - Straße, Grünanlage",Acer platanoides 'Columnare' (Säulenahorn),2019,2019,21,21 cm,2,6-10 m,1,0-3 m,2005,
BAUMKATOGD.576868266,576868266,POINT (16.287733198038314 48.151971500068),268682,magistrat,23,"23., Parkanlage Pölleritzergasse, MA42",MA 42 - Parkanlage,Crataegus monogyna (Weißdorn),0,nicht definiert,74,74 cm,1,0-5 m,3,7-9 m,39,
BAUMKATOGD.576868267,576868267,POINT (16.417259516364144 48.179748794511355),33776,magistrat,11,Leopold-Abelles-Gasse,"MA 28 - Straße, Grünanlage",Sophora japonica (Schnurbaum),1998,1998,80,80 cm,2,6-10 m,2,4-6 m,2001,
BAUMKATOGD.576868268,576868268,POINT (16.412080193502604 48.22647053664793),367797,magistrat,22,"DI, Reichsbrücke - Kaisermühlenbr.",MA 45 - Donauinsel,Acer platanoides (Spitzahorn),2000,2000,75,75 cm,2,6-10 m,2,4-6 m,460,
BAUMKATOGD.576868269,576868269,POINT (16.28712365306653 48.15202736002733),268709,magistrat,23,"23., Parkanlage Pölleritzergasse, MA42",MA 42 - Parkanlage,Acer platanoides (Spitzahorn),0,nicht definiert,98,98 cm,3,11-15 m,2,4-6 m,66,
BAUMKATOGD.576868270,576868270,POINT (16.287164949063303 48.15213080067793),268711,magistrat,23,"23., Parkanlage Pölleritzergasse, MA42",MA 42 - Parkanlage,Acer campestre (Feldahorn),0,nicht definiert,115,115 cm,3,11-15 m,3,7-9 m,68,
BAUMKATOGD.576868271,576868271,POINT (16.363044724264885 48.24927703571643),36554,magistrat,19,Heiligenstädter Straße,"MA 28 - Straße, Grünanlage",Tilia tomentosa (Silberlinde),1811,1811,268,268 cm,3,11-15 m,4,10-12 m,4047,
BAUMKATOGD.576868272,576868272,POINT (16.3601171627882 48.221146934359375),327756,magistrat,9,Ari-Rath-Platz,"MA 28 - Straße, Grünanlage",Ulmus 'New Horizon' (Resista Ulme),2018,2018,39,39 cm,2,6-10 m,1,0-3 m,3001,
BAUMKATOGD.576868273,576868273,POINT (16.363466762698266 48.250360521357976),36563,magistrat,19,Heiligenstädter Straße,"MA 28 - Straße, Grünanlage",Tilia platyphyllos (Sommerlinde),1882,1882,167,167 cm,3,11-15 m,3,7-9 m,4056,
BAUMKATOGD.576868274,576868274,POINT (16.423631993528556 48.278098484138376),336440,magistrat,21,Ruthnergasse,"MA 28 - Straße, Grünanlage",Acer campestre 'Elsrijk' (Feldahorn),2021,2021,20,20 cm,1,0-5 m,1,0-3 m,120,
BAUMKATOGD.576868275,576868275,POINT (16.359731205332455 48.22146807144909),7239,magistrat,9,Ari-Rath-Platz,"MA 28 - Straße, Grünanlage",Ulmus 'New Horizon' (Resista Ulme),2007,2007,122,122 cm,3,11-15 m,3,7-9 m,3004,
BAUMKATOGD.576868276,576868276,POINT (16.359660855617918 48.221544797856005),340155,magistrat,9,Ari-Rath-Platz,"MA 28 - Straße, Grünanlage",Ulmus 'New Horizon' (Resista Ulme),2020,2020,18,18 cm,1,0-5 m,1,0-3 m,3005,
BAUMKATOGD.576868277,576868277,POINT (16.359584621538435 48.221703273596844),137000,magistrat,9,Ari-Rath-Platz,"MA 28 - Straße, Grünanlage",Ulmus spec. (Ulme),2007,2007,99,99 cm,3,11-15 m,3,7-9 m,3007,
BAUMKATOGD.576868278,576868278,POINT (16.300550693488603 48.149214336950784),369094,magistrat,23,"23., Parkanlage Stadtpark Atzgersdorf, MA42",MA 42 - Parkanlage,Taxus baccata (Heimische Eibe),0,nicht definiert,125,125 cm,2,6-10 m,3,7-9 m,245,
BAUMKATOGD.576868279,576868279,POINT (16.300910776269635 48.14737126807337),256224,magistrat,23,"23., Parkanlage Riegermühle, MA42",MA 42 - Parkanlage,Corylus colurna (Baumhasel),2015,2015,31,31 cm,1,0-5 m,1,0-3 m,93,
BAUMKATOGD.576868280,576868280,POINT (16.360444561845927 48.22079963814168),157867,magistrat,9,Bauernfeldplatz,"MA 28 - Straße, Grünanlage",Paulownia tomentosa (Blauglockenbaum),1986,1986,121,121 cm,2,6-10 m,3,7-9 m,1001,
BAUMKATOGD.576868281,576868281,POINT (16.301015114102036 48.14748785337259),256226,magistrat,23,"23., Parkanlage Riegermühle, MA42",MA 42 - Parkanlage,Acer campestre 'Elsrijk' (Feldahorn),2015,2015,39,39 cm,1,0-5 m,1,0-3 m,102,
